full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
ilysenko/codex-desktop-linux,https://github.com/ilysenko/codex-desktop-linux,3752,8977,2026-09-03T04:31:11Z,JavaScript,2026-02-05T07:57:25Z,MIT,476,main,"Unofficial ChatGPT desktop app for Linux (formerly the Codex app), built locally from OpenAI’s official macOS app. Includes Chat, Work, and Codex. Packages for Debian/Ubuntu (.deb), Fedora/openSUSE (."
webrtcHacks/adapter,https://github.com/webrtcHacks/adapter,3746,6648,2026-08-27T10:09:15Z,JavaScript,2015-01-29T15:41:40Z,BSD-3-Clause,857,main,Shim to insulate apps from spec changes and prefix differences. Latest adapter.js release:
foamzou/melody,https://github.com/foamzou/melody,3744,1943,2026-02-19T03:15:29Z,JavaScript,2021-12-05T07:47:14Z,Apache-2.0,314,main,我的音乐精灵
jin-yufeng/mp-html,https://github.com/jin-yufeng/mp-html,3739,4566,2026-04-19T11:18:49Z,JavaScript,2019-04-13T05:24:15Z,MIT,529,master,小程序富文本组件，支持渲染和编辑 html，支持在微信、QQ、百度、支付宝、头条和 uni-app 平台使用
forwardemail/email-templates,https://github.com/forwardemail/email-templates,3738,2387,2026-08-27T23:43:25Z,JavaScript,2012-06-15T14:23:32Z,MIT,333,master,"Create, preview (browser/iOS Simulator), and send custom email templates for Node.js.  Made for @forwardemail, @ladjs, @cabinjs, @spamscanner, and @breejs."
mumuy/relationship,https://github.com/mumuy/relationship,3728,19540,2026-08-31T10:20:19Z,JavaScript,2016-03-16T06:57:16Z,MIT,408,master,中国亲戚关系计算器 - 家庭称谓/亲戚称呼/称呼计算/辈分计算/亲戚关系算法/親戚稱呼計算機_Chinese kinship system.
panphora/overtype,https://github.com/panphora/overtype,3699,5432,2026-08-24T15:19:45Z,JavaScript,2025-08-15T02:17:49Z,MIT,95,main,The markdown editor that's just a textarea https://overtype.dev
jasonlong/isometric-contributions,https://github.com/jasonlong/isometric-contributions,3690,54343,2026-09-02T21:02:17Z,JavaScript,2014-03-26T21:38:18Z,MIT,172,main,Browser extension for rendering an isometric pixel art version of your GitHub contribution graph.
holistics/dbml,https://github.com/holistics/dbml,3685,35439,2026-09-03T04:51:09Z,JavaScript,2019-03-24T05:00:09Z,Apache-2.0,231,master,"Database Markup Language (DBML), designed to define and document database structures"
memodb-io/Acontext,https://github.com/memodb-io/Acontext,3680,30606,2026-07-14T18:35:09Z,JavaScript,2025-07-16T13:15:48Z,Apache-2.0,333,main,Agent Skills as a Memory Layer
kovacsv/Online3DViewer,https://github.com/kovacsv/Online3DViewer,3679,91752,2026-06-24T14:54:51Z,JavaScript,2014-10-11T11:48:24Z,MIT,762,master,A solution to visualize and explore 3D models in your browser.
getgauge/taiko,https://github.com/getgauge/taiko,3674,28153,2026-09-01T16:03:54Z,JavaScript,2017-10-27T05:25:27Z,MIT,459,master,A node.js library for testing modern web applications
mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,3660,6113,2026-02-18T00:49:30Z,JavaScript,2017-03-26T06:01:36Z,MIT,494,master,JSON viewer for react
micromodal/Micromodal,https://github.com/micromodal/Micromodal,3659,3572,2026-08-08T04:57:37Z,JavaScript,2017-08-10T17:24:03Z,MIT,235,master,⭕   Tiny javascript library for creating accessible modal dialogs
prettier/eslint-plugin-prettier,https://github.com/prettier/eslint-plugin-prettier,3652,1001,2026-09-01T12:02:05Z,JavaScript,2017-01-26T04:09:32Z,MIT,212,main,ESLint plugin for Prettier formatting
