full_name,html_url,stargazers_count,size_kb,pushed_at,language,created_at,license,forks_count,default_branch,description
fregante/GhostText,https://github.com/fregante/GhostText,3637,6403,2026-05-13T08:38:15Z,JavaScript,2014-03-06T20:56:32Z,MIT,133,main,👻 Use your text editor to write in your browser. Everything you type in the editor will be instantly updated in the browser (and vice versa).
RafalWilinski/express-status-monitor,https://github.com/RafalWilinski/express-status-monitor,3615,1263,2026-02-16T00:13:30Z,JavaScript,2016-07-31T15:08:47Z,MIT,264,master,"🚀 Realtime Monitoring solution for Node.js/Express.js apps, inspired by status.github.com, sponsored by https://dynobase.dev"
varkor/quiver,https://github.com/varkor/quiver,3614,10914,2026-09-01T09:51:01Z,JavaScript,2018-12-28T00:44:28Z,MIT,122,master,A modern commutative diagram editor for the web.
jsx-eslint/eslint-plugin-jsx-a11y,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y,3614,2212,2026-01-06T02:25:30Z,JavaScript,2016-02-17T20:50:33Z,MIT,651,main,Static AST checker for a11y rules on JSX elements.
stemdeckapp/stemdeck,https://github.com/stemdeckapp/stemdeck,3608,13288,2026-09-02T09:42:26Z,JavaScript,2026-05-03T10:51:20Z,Apache-2.0,298,main,"Stemdeck is an modern stem extraction platform for musicians,producers and hobbyists, designed to isolate vocals, drums, bass, piano and guitar  for practice, transcription, remixing, and creative aud"
nolimits4web/atropos,https://github.com/nolimits4web/atropos,3600,5162,2026-05-20T23:30:30Z,JavaScript,2021-05-11T15:40:50Z,MIT,107,master,Stunning touch-friendly 3D parallax hover effects
webtorrent/instant.io,https://github.com/webtorrent/instant.io,3594,1317,2026-09-02T22:37:36Z,JavaScript,2014-08-02T18:11:53Z,MIT,441,master,🚀 Streaming file transfer over WebTorrent (torrents on the web)
mxschmitt/action-tmate,https://github.com/mxschmitt/action-tmate,3580,2022,2026-07-29T11:36:42Z,JavaScript,2019-08-23T12:31:19Z,MIT,333,master,Debug your GitHub Actions via SSH by using tmate to get access to the runner system itself.
osano/cookieconsent,https://github.com/osano/cookieconsent,3572,3124,2026-08-11T18:23:43Z,JavaScript,2015-02-02T17:55:24Z,MIT,571,dev,"A free solution to the EU, GDPR, and California Cookie Laws"
franciscop/server,https://github.com/franciscop/server,3555,32011,2026-07-26T04:11:44Z,JavaScript,2016-12-20T20:51:08Z,MIT,185,master,:desktop_computer: Simple and powerful server for Node.js
react/react-strict-dom,https://github.com/react/react-strict-dom,3554,2808,2026-08-31T16:30:54Z,JavaScript,2024-02-20T21:36:40Z,MIT,204,main,React Strict DOM (RSD) standardizes the development of styled React components for web and native.
